country,Country Code,Region,Income Group,Lending category,Electric power consumption (kWh per capita),Forest area (sq. km),Rail lines (total route-km),Time required to start a business (days),"Patent applications, residents",Scientific and technical journal articles,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Population density (people per sq. km of land area),Urban population
Aruba,ABW,Latin America & Caribbean,High income,,,4.199999869,,,,,,576.5222222,44665
Afghanistan,AFG,South Asia,Low income,IDA,,13500,,8.5,,33.3,59.01033025,51.11477805,8204877
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD,312.228825,579808.0078,,66,,35.7,32.97402504,21.61047485,16900847
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,2309.366503,7724.60022,,5,10,360.7,18.88395497,105.4417518,1630119
Andorra,AND,Europe & Central Asia,High income,,,160,,,,5.4,10.83041825,168.5382979,70057
United Arab Emirates,ARE,Middle East & North Africa,High income,,11088.35029,3215.400085,,8.2,29,1819,37.98342106,129.740566,7866602
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD,3074.702071,274088.0078,18097,24.5,509,8955.3,14.46698041,15.59164538,38990109
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD,1961.610395,3317.999878,,4.5,121,559.1,33.08594982,102.2972603,1838076
American Samoa,ASM,East Asia & Pacific,Upper middle income,,,175.7999992,,,,,13.31699203,278.955,48699
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,IBRD,,98.00000191,,22,,2.5,19.72558362,210.3681818,23302
Australia,AUS,East Asia & Pacific,High income,,10071.39898,1244430,,2.5,1988,52643.6,9.492978752,3.055814795,20095657
Austria,AUT,Europe & Central Asia,High income,,8355.841952,38671.99951,4956,22,2092,12900.5,13.37922794,103.5633242,4916377
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD,2202.393918,11131.80054,2066.4,5.5,168,399.6,20.71006751,115.3488166,5189181
Burundi,BDI,Sub-Saharan Africa,Low income,IDA,,2713.999939,,5,,14.9,39.38755864,383.3448988,1159264
Belgium,BEL,Europe & Central Asia,High income,,7709.123078,6829.60022,3631,4,889,17499.2,13.2336213,370.180218,10966157
Benin,BEN,Sub-Saharan Africa,Low income,IDA,100.2251225,43610,,12.5,,181.6,29.66045567,91.22775807,4646155
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA,,54097.99805,518,13,,201.9,33.96909317,64.27637792,4736618
Bangladesh,BGD,South Asia,Lower middle income,IDA,320.2041582,14315.99976,,19.5,44,2361.5,68.3953774,1187.064354,51818338
Bulgaria,BGR,Europe & Central Asia,Upper middle income,IBRD,4708.927458,38058.00049,4023,25,218,2744.4,20.74356996,66.54327561,5320503
Bahrain,BHR,Middle East & North Africa,High income,,19596.95376,5.899999738,,9.3,6,223.6,62.75854371,1732.911837,1187971
The Bahamas,BHS,Latin America & Caribbean,High income,,,5150,,23.5,1,12.3,18.49533328,37.02627373,306395
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD,3446.766668,21850,1027.054,83,41,477.8,28.77732513,68.00984375,1631018
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD,3679.97884,86135.99609,5470,12,652,1053,19.76605366,46.67867468,7266287
Belize,BLZ,Latin America & Caribbean,Upper middle income,IBRD,,13713.19946,,43,,5.2,24.42114809,15.49171416,160198
Bermuda,BMU,North America,High income,,,10,,,,,12.80641477,1206.277756,65139
Bolivia,BOL,Latin America & Caribbean,Lower middle income,IBRD,742.5383997,550530,,49,9,94.5,24.81882932,9.883242869,7285464
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD,2619.960616,4945220,,83.6,4659,53667.3,13.98993477,24.25943272,173346772
Barbados,BRB,Latin America & Caribbean,High income,,,63.00000191,,18,1,40.7,25.18301447,662.3837209,89230
Brunei,BRN,East Asia & Pacific,High income,,10291.16405,3800,,104.5,26,185.9,6.180830115,77.75502846,312785
Bhutan,BTN,South Asia,Lower middle income,IDA,,27450.1001,,15,,27.8,40.83967373,18.86444393,272652
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD,1815.558069,109422.002,,48,4,200,24.15127779,3.685377517,1386171
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA,,221855.9961,,22,,18.7,49.35636376,7.165839995,1783840
Canada,CAN,North America,High income,,15588.48715,3471155.938,58651,5.5,4198,61539.4,7.428419864,3.897002917,28781576
Switzerland,CHE,Europe & Central Asia,High income,,7520.166025,12501.99951,4018.719,10,1480,22502,11.38910719,207.2236258,6034707
Channel Islands,CHI,Europe & Central Asia,High income,,,8.000000119,,,,,,828.7879107,50863
Chile,CHL,Latin America & Caribbean,High income,IBRD,3879.675605,174341.9922,,7.5,452,6182.4,22.86825181,23.88459172,15504104
China,CHN,East Asia & Pacific,Upper middle income,IBRD,3927.0445,2067790.938,66989,29.4,801135,393962.7,59.76736751,145.3173521,740239259
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA,274.7300905,104014.0039,639,7,,186.5,20.90017764,71.21912893,11100535
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend,275.1979137,190360,,16.5,,618.4,56.71530558,47.98260667,12242760
Dem. Rep. Congo,COD,Sub-Saharan Africa,Low income,IDA,108.5167011,1528894.063,3641,16.5,,120,42.5494471,32.538959,31115109
Congo,COG,Sub-Saharan Africa,Lower middle income,Blend,202.8721289,223494.0039,,50.5,,76.2,45.85281627,13.87108053,3083060
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD,1312.157503,585284.6094,,12,260,5292.6,18.34420526,42.33367192,37300597
Comoros,COM,Sub-Saharan Africa,Lower middle income,IDA,,374.0000153,,16,,1.5,21.50207199,408.0547959,215196
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,Blend,,889.4000244,,18,,8.2,31.62108111,128.6027295,330707
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,IBRD,1942.48817,27258.00049,,23,16,365.8,17.54363411,93.9168821,3641672
Cuba,CUB,Latin America & Caribbean,Upper middle income,,1450.883717,31463.99902,,,24,1482.9,21.29623433,108.6993078,8690598
Curaçao,CUW,Latin America & Caribbean,High income,,4797.670436,,,,,,,351.1463964,139450
Cayman Islands,CYM,Latin America & Caribbean,High income,,,126.9999981,,,,,,253.5333333,60848
Cyprus,CYP,Europe & Central Asia,High income,,3624.971253,1727.299957,,8,4,867.9,18.29352737,124.7061688,772388
Czech Republic,CZE,Europe & Central Asia,High income,,6258.891037,26650,9457.612,30.5,910,15675,17.39121549,136.30338,7723921
Germany,DEU,Europe & Central Asia,High income,,7035.482975,114170,33426,14.5,48154,109262,12.75122057,232.1080539,62510392
Djibouti,DJI,Middle East & North Africa,Lower middle income,IDA,,55.99999905,,14,,7.5,41.25972754,38.77031924,694818
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend,,435.9999847,,12,,10.1,21.01030747,94.78,49248
Denmark,DNK,Europe & Central Asia,High income,,5858.801536,6071.799927,,6,1377,14022,11.06670453,134.4004525,4932961
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD,1615.515242,19498.00049,,14.5,13,40.6,14.1880737,210.4156075,7895294
Algeria,DZA,Middle East & North Africa,Upper middle income,IBRD,1362.871919,19484.00024,3799.94,20,94,3679.5,35.56391718,16.34254243,27332602
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD,1376.393115,126266.1035,,55.5,24,409.1,16.23418751,64.22869222,10091292
Egypt,EGY,Middle East & North Africa,Lower middle income,IBRD,1683.213518,724.0000153,,12.5,752,9311.2,76.55960126,90.83796675,38737018
Eritrea,ERI,Sub-Saharan Africa,Low income,IDA,,15144.00024,,84,,7.5,44.37494629,,
Spain,ESP,Europe & Central Asia,High income,,5355.987006,183837.4023,15506,14,2953,57075.8,10.07458883,92.92273645,36890017
Estonia,EST,Europe & Central Asia,High income,,6732.367473,22323.99902,1018,4.5,44,1675.2,7.705552572,30.24028065,897427
Ethiopia,ETH,Sub-Saharan Africa,Low income,IDA,69.19875316,124584.0039,,39,,1025,35.04359745,98.094253,18635946
Finland,FIN,Europe & Central Asia,High income,,15249.98938,222180,5944,17,1419,11220,6.468639868,17.97200303,4651843
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend,,10123.40027,,58,,123.2,11.92289283,47.42490421,469756
France,FRA,Europe & Central Asia,High income,,6939.521474,168760,58,4.5,14500,75017.4,12.28970307,121.1126895,52651004
Faroe Islands,FRO,Europe & Central Asia,High income,,,0.799999982,,,,,,34.35529936,19904
Micronesia,FSM,East Asia & Pacific,Lower middle income,IDA,,642.3999786,,16,,3.2,11.86686885,153.4942857,24067
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD,1167.852214,228000,810,47,,60.1,41.31956969,7.310901541,1651170
United Kingdom,GBR,Europe & Central Asia,High income,,5129.527793,31270,16534.1,6,15196,102970.6,10.80055978,267.0737817,53218629
Georgia,GEO,Europe & Central Asia,Upper middle income,IBRD,2693.97276,28223.99902,1453.4,2,110,486.1,22.96670742,65.07250079,2122558
Ghana,GHA,Sub-Saharan Africa,Lower middle income,IDA,351.301579,93085.99609,,14,,662.2,25.8895233,119.646972,14543041
Gibraltar,GIB,Europe & Central Asia,High income,,5693.106004,0,,,,,,3372.5,33725
Guinea,GIN,Sub-Saharan Africa,Low income,IDA,,64000,,15,,23.8,21.19667275,45.38082777,3884554
The Gambia,GMB,Sub-Saharan Africa,Low income,IDA,,4863.999939,,26,,49.2,30.62189539,200.0041502,1184631
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,IDA,,19820,,8.5,,17.9,26.94095978,60.18630868,706001
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,IBRD,,15795.99976,,150,,2.2,44.30179969,40.00983957,786525
Greece,GRC,Europe & Central Asia,High income,,5062.606422,40238.00049,2238,13,651,11752.7,17.36504185,84.50281614,8463623
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend,,169.8999977,,15,,55.5,24.28703113,320.3,39137
Greenland,GRL,Europe & Central Asia,High income,,,2.199999988,,,,22.9,12.51054773,0.137154343,48308
Guatemala,GTM,Latin America & Caribbean,Upper middle income,IBRD,577.8973542,35763.99902,,26.5,10,72.5,26.52785542,148.5931598,7903342
Guam,GUM,East Asia & Pacific,High income,,,250,,,,,12.02255289,298.1777778,152078
Guyana,GUY,Latin America & Caribbean,Upper middle income,IDA,,165360,,18,1,12.1,23.64826569,3.877978156,201639
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,,6083.269936,,,2.5,192,,,6885.238095,7229500
Honduras,HND,Latin America & Caribbean,Lower middle income,IDA,619.8363949,47120,,14,,27.7,23.16154008,80.03922603,4882050
Croatia,HRV,Europe & Central Asia,High income,IBRD,3714.382988,19215.99976,2604,22.5,170,4473.8,18.43310352,75.73961758,2370234
Haiti,HTI,Latin America & Caribbean,Low income,IDA,39.05580506,978.0000305,,97,2,38.3,16.26222456,382.7651669,5426832
Hungary,HUN,Europe & Central Asia,High income,,3965.958233,20643.99902,7894.8,7,546,6858.9,16.31532793,108.985618,6928924
Indonesia,IDN,East Asia & Pacific,Lower middle income,IBRD,811.9069049,916943.9844,,52.5,702,3465.2,16.45463183,140.8330917,134287151
Isle of Man,IMN,Europe & Central Asia,High income,,,34.60000038,,,,,,146.4701754,43549
India,IND,South Asia,Lower middle income,IBRD,804.5142281,705036.0156,65808,35,12040,100574.8,89.62238269,435.762324,419568459
Ireland,IRL,Europe & Central Asia,High income,,5672.064134,7483.400269,1458,6,263,7374.5,8.750521533,67.61126433,2903635
Iran,IRN,Middle East & North Africa,Upper middle income,IBRD,3022.122563,106919.8047,8559.5,72.5,13683,36310.9,38.10949306,47.56118335,56418308
Iraq,IRQ,Middle East & North Africa,Upper middle income,IBRD,1328.230416,8250,2370,27.5,,865.5,56.56703027,79.26683001,24005089
Iceland,ISL,Europe & Central Asia,High income,,53832.47909,479.0000153,,12,51,589.5,6.948896646,3.265695761,306653
Israel,ISR,Middle East & North Africa,High income,,6600.89828,1628.000031,1194,13,1125,12265.8,22.05914688,379.6534196,7566988
Italy,ITA,Europe & Central Asia,High income,,5002.40668,92432.00195,16722.6,6.5,8601,70780.7,17.76927084,206.6673693,42109853
Jamaica,JAM,Latin America & Caribbean,Upper middle income,IBRD,1050.732904,3355.799866,,15,33,160.1,14.07433169,265.478855,1569364
Jordan,JOR,Middle East & North Africa,Upper middle income,IBRD,1864.675855,975,,12.5,40,1471.8,33.20542058,100.4736314,8028044
Japan,JPN,East Asia & Pacific,High income,,7819.714636,249595.9961,16703.2,11.2,265959,106154.6,12.58661692,349.1222295,116208079
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,IBRD,5600.208465,33090,14767.1,16,1742,1065.5,13.74975351,6.40378005,9874723
